"","City","ST","Region","Population_Change","Population_Change_Percentage","Temp_Change","Prcp_Change","LAT","LON"
"58","Chicago","IL","Midwest",997023,59,2.2,8.96,41.8375511,-87.6818441
"59","Concordia","KS","Midwest",1994,59,-1.41999999999999,6.52,39.5653815,-97.6468215
"60","Springfield","OH","Midwest",22355,58,0,16.58,39.9337579,-83.7957572
"61","Madison","IN","Midwest",4132,53,1.20999999999999,9.08,38.7588294,-85.3971348
"62","Stillwater","MN","Midwest",5907,48,0.460000000000001,-0.900000000000002,45.0586057,-92.8304075
"63","Jackson","OH","Midwest",1725,37,2.33000000000001,1.54,39.0459501,-82.6496008
"64","Macon","MO","Midwest",1403,34,-0.339999999999996,-5.79,39.7421423,-92.4705453
"65","Jackson","MI","Midwest",8354,33,2.33000000000001,1.54,42.2434542,-84.4022545
"66","Portland","IN","Midwest",1425,30,0.689999999999998,17.47,40.4366813,-84.9834414
"67","Jacksonville","IL","Midwest",4368,29,-2.47,-20.45,39.729151,-90.232201
"68","Saginaw","MI","Midwest",9163,22,1.1,-9.12,43.4176784,-83.954716
"69","Lexington","MO","Midwest",536,13,-0.759999999999998,4.37,39.1802617,-93.8691656
"70","Burlington","IA","Midwest",2462,11,0.879999999999995,6.17,40.8064457,-91.1253389
"71","Trenton","MO","Midwest",605,11,0.460000000000001,-4.2,40.0812551,-93.6023873
"72","Cleveland","OH","Midwest",15047,4,2.16,9.57,41.4781381,-81.6794861
"73","Ely","MN","Midwest",-257,-7,-2.27,0.639999999999999,47.905099,-91.8530128
"74","Cincinnati","OH","Midwest",-28959,-9,-1.56,8.89,39.1399019,-84.5064465
"75","Ashland","WI","Midwest",-4858,-37,-2.61,-6.6,46.5823397,-90.8706331
"76","Madison","NJ","Northest",12091,322,1.20999999999999,9.08,40.7580439,-74.4178066
"77","Springfield","MA","Northest",91001,147,0,16.58,42.115454,-72.5399783
"78","Burlington","VT","Northest",23777,128,0.879999999999995,6.17,44.4919905,-73.2393625
"79","Concord","NH","Northest",23063,117,3.04000000000001,1.77,43.2324926,-71.5612523
"80","Erie","PA","Northest",49053,93,0.479999999999997,7.13,42.1165941,-80.0735032
"81","Manchester","NH","Northest",52578,92,8.19,1.38,42.9846891,-71.4438932
"82","Augusta","ME","Northest",7453,64,-1.3,-22.73,44.3349191,-69.7342048
"83","Lewiston","ME","Northest",12831,54,5.96,3.42,44.0895941,-70.1721851
"84","Worcester","MA","Northest",62624,53,0.849999999999994,13.54,42.2694781,-71.8077831
"85","Burlington","NJ","Northest",2528,34,0.879999999999995,6.17,40.078366,-74.8525096
"86","Portland","ME","Northest",16049,32,0.689999999999998,17.47,43.663811,-70.255365
"87","Harrison","NJ","Northest",3024,29,-1.29,0.019999999999996,40.7429573,-74.1529116
"88","Waterloo","NY","Northest",915,21,-1.01,5.7,42.9045862,-76.8590234
"89","Philadelphia","PA","Northest",232309,18,1.52,3.55,40.0093755,-75.1333459
"90","Trenton","NJ","Northest",11606,16,0.460000000000001,-4.2,40.2237484,-74.7640005
"91","Salem","MA","Northest",5384,15,-1.69,14.48,42.5012804,-70.8975017
"92","Milton","PA","Northest",867,14,3.64,14.2,41.0090362,-76.8514336
"93","Boston","MA","Northest",56702,10,2.9,5.61,42.33196,-71.0201725
"94","Albany","NY","Northest",3705,4,0.0700000000000003,7.28,42.6657453,-73.7983532
"95","Williamsport","PA","Northest",624,2,0.939999999999998,13.16,41.2400192,-77.0355914
"96","Pittsburgh","PA","Northest",-15912,-5,-2.92,12.12,40.4397525,-79.9765919
"97","Athens","PA","Northest",-382,-10,-2.16999999999999,17.03,41.9334135,-76.5159955
"98","Salem","NJ","Northest",-665,-11,-1.69,14.48,39.5682361,-75.472553
"99","Buffalo","NY","Northest",-91077,-26,0.43,0.789999999999999,42.8924919,-78.8596862
"100","Ashland","PA","Northest",-3621,-56,-2.61,-6.6,40.7811064,-76.3450463
"101","Tulsa","OK","South",390506,27893,-0.019999999999996,-11.88,36.1279488,-95.9023162
"102","Miami","FL","South",397757,23397,6.42,46.31,25.775163,-80.2086152
"103","Jacksonville","NC","South",69845,23282,-2.47,-20.45,34.7368657,-77.3926655
"104","Amarillo","TX","South",189295,13521,1.65000000000001,2.15,35.1978395,-101.8287459
"105","Orlando","FL","South",235800,9432,-0.950000000000003,-18.13,28.4158857,-81.2987497
"106","Roswell","GA","South",87046,6696,1.66999999999999,-4.98,34.039453,-84.3509459
"107","Gulfport","MS","South",66693,6063,0.280000000000001,-27.51,30.4160584,-89.071845
"108","Tallahassee","FL","South",178395,5984,-1.09,-10.41,30.4551091,-84.2534191
"109","Houston","TX","South",2054818,4604,0.650000000000006,-30.14,29.7804724,-95.3863425
"110","Cleveland","MS","South",12034,4011,2.16,9.57,33.7431193,-90.7290123
"111","Charlotte","NC","South",713333,3943,-0.269999999999996,-9.94,35.2087069,-80.8307389
"112","Austin","TX","South",768132,3451,3.37,-16.23,30.3071816,-97.7559964
"113","Abilene","TX","South",113652,3332,0.530000000000001,-4.32,32.4545143,-99.7381473
"114","Gainesville","FL","South",120721,3323,-2.71000000000001,-12.06,29.6788314,-82.345878
"115","Raleigh","NC","South",390249,2860,-0.0799999999999983,-10.3,35.8302035,-78.6414394
"116","Jacksonville","FL","South",793355,2791,-2.47,-20.45,30.3370193,-81.6613021
"117","Huntsville","AL","South",172037,2132,NA,NA,34.7842707,-86.5389964
"118","Jackson","MS","South",165698,2120,2.33000000000001,1.54,32.3158308,-90.2128226
"119","Tampa","FL","South",319870,2020,0.190000000000012,-15.11,27.9700861,-82.4796734
"120","Albany","GA","South",72828,1581,0.0700000000000003,7.28,31.5776688,-84.1794533
"121","Morgantown","WV","South",27760,1461,-0.840000000000003,3.88,39.6376567,-79.946368
"122","Huntsville","TX","South",36048,1442,NA,NA,30.7056956,-95.5528654
"123","Jonesboro","AR","South",62755,1392,-2.63,-18.57,35.8197327,-90.6790501
"124","Monroe","NC","South",30397,1267,1.47,-0.670000000000002,35.0015898,-80.5612792
"125","Burlington","NC","South",46271,1253,0.879999999999995,6.17,36.0825608,-79.4597484
"126","Shreveport","LA","South",183298,1145,0.189999999999998,-17.85,32.4670204,-93.7926845
"127","Athens","GA","South",105207,1027,-2.16999999999999,17.03,33.9495967,-83.3700882
"128","Lexington","KY","South",269434,1022,-0.759999999999998,4.37,38.0401572,-84.4584429
"129","Hattiesburg","MS","South",41814,1002,-2.16,-21.18,31.3072957,-89.3174117
"130","Cleveland","TN","South",37427,970,2.16,9.57,35.1821006,-84.8709686
"131","Natchitoches","LA","South",16523,918,6.24,24.35,31.7345636,-93.1005905
"132","Concord","NC","South",71156,900,3.04000000000001,1.77,35.3920479,-80.6355434
"133","Monroe","LA","South",43387,799,1.47,-0.670000000000002,32.519552,-92.077482
"134","Aiken","SC","South",26110,765,18.09,40.01,33.5298291,-81.7272836
"135","Gainesville","GA","South",29422,671,-2.71000000000001,-12.06,34.2896583,-83.8298926
"136","Athens","TN","South",11658,648,-2.16999999999999,17.03,35.452422,-84.6038561
"137","Nashville","TN","South",520357,643,-0.82,10.54,36.1718001,-86.7850016
"138","Salem","VA","South",21390,627,-1.69,14.48,37.2853329,-80.0552407
"139","Glasgow","KY","South",12028,601,-2.52999999999999,8.65,37.0048418,-85.925876
"140","Montgomery","AL","South",175418,578,-0.97999999999999,-21.57,32.3462512,-86.2685927
"141","Richmond","KY","South",26711,574,0.169999999999995,-1.87,37.7211632,-84.2909878
"142","Memphis","TN","South",544569,532,0.859999999999999,0.479999999999997,35.1035431,-89.9784984
"143","Asheville","NC","South",68699,468,3.57,21.9,35.570977,-82.5527383
"144","Chattanooga","TN","South",137520,456,0.420000000000002,-4.87,35.0664635,-85.2470649
"145","Birmingham","AL","South",173822,452,-1.79000000000001,-28.32,33.5274441,-86.799047
"146","Wilmington","NC","South",85500,408,-5.5,4.91,34.209225,-77.8857671
"147","Mobile","AL","South",156642,407,-0.799999999999997,-31.31,30.668426,-88.1002261
"148","Augusta","GA","South",156403,397,-1.3,-22.73,33.3655309,-82.0734219
"149","Atlanta","GA","South",330131,367,0.620000000000005,-10.68,33.7629088,-84.4226745
"150","Charleston","WV","South",40301,363,-17.89,0.979999999999997,38.3486917,-81.632324
"151","Jackson","TN","South",50700,349,2.33000000000001,1.54,35.6491371,-88.8305972
"152","Huntington","WV","South",37215,312,-0.57,0.269999999999996,38.4106509,-82.4346886
"153","Lynchburg","VA","South",56677,300,-2.2,0.210000000000001,37.3990161,-79.1954582
"154","Macon","GA","South",68079,293,-0.339999999999996,-5.79,32.8309533,-83.6489181
"155","Ashland","KY","South",14884,219,-2.61,-6.6,38.4594922,-82.6450808
"156","Pensacola","FL","South",34176,193,-1.25,-7.85999999999999,30.4412661,-87.1899433
"157","Meridian","MS","South",27098,193,-0.889999999999993,-30.36,32.3841906,-88.6894404
"158","Louisville","KY","South",392606,192,0.650000000000006,0.469999999999999,38.1780769,-85.6667077
"159","Russellville","KY","South",4369,169,-0.170000000000002,-15.34,36.8395177,-86.8955786
"160","Savannah","GA","South",82042,151,-1.13,-8.73,32.0025121,-81.1535567
"161","Richmond","VA","South",119164,140,0.169999999999995,-1.87,37.531399,-77.4760085
"162","Bluefield","WV","South",5803,125,0.359999999999999,-3.27,37.2630513,-81.2108607
"163","Lexington","VA","South",3839,120,-0.759999999999998,4.37,37.7823316,-79.4443196
"164","Charleston","SC","South",64276,115,-17.89,0.979999999999997,32.8179219,-79.9589267
"165","Gainesville","TX","South",8128,103,-2.71000000000001,-12.06,33.6386474,-97.1484125
"166","Aberdeen","MS","South",2178,63,-1.94,4.45,33.8282992,-88.5547413
"167","Galveston","TX","South",9954,26,0.150000000000006,-45.22,29.1832602,-94.9697546
"168","Baltimore","MD","South",112004,22,-0.160000000000004,11.9,39.3002135,-76.6105159
"169","Wilmington","DE","South",-5657,-7,-5.5,4.91,39.7352263,-75.5292892
"170","Dayton","KY","South",-766,-13,-2.05,-0.299999999999997,39.1127585,-84.4644605
"171","Wheeling","WV","South",-10392,-27,0.259999999999998,-4.44,40.0739061,-80.6953702
"172","Phoenix","AZ","West",1440088,25976,4.42,3.75,33.5721625,-112.0879662
"173","Concord","CA","West",121467,20244,3.04000000000001,1.77,37.9721785,-122.0015843
"174","Escondido","CA","West",143156,18961,6.83,1.34,33.1336477,-117.073223
"175","Springfield","OR","West",59050,16728,0,16.58,44.0539471,-122.9812245
"176","Roswell","NM","West",48066,16022,1.66999999999999,-4.98,33.3734421,-104.5293929
"177","Albuquerque","NM","West",539614,8650,1.42,3.06,35.1055517,-106.6473884
"178","Hayward","CA","West",142221,7238,-0.810000000000002,-8.68,37.6281392,-122.1063408
"179","Bakersfield","CA","West",342647,7085,6.18,8.21,35.3212129,-119.0182915
"180","Tucson","AZ","West",512585,6806,2.3,3.34,32.1542888,-110.8710622
"181","Vancouver","WA","West",158665,5076,1.59,8.57,45.6372364,-122.5965165
"182","Yuma","AZ","West",91264,5070,2.97,3.48,32.5162613,-114.5218113
"183","Flagstaff","AZ","West",64570,4967,-0.25,11.32,35.1852172,-111.6207262
"184","Reno","NV","West",220721,4905,4.14,1.44,39.4744867,-119.7765384
"185","Lincoln","CA","West",41758,3936,0.700000000000003,1.24,38.8756216,-121.2926876
"186","Fresno","CA","West",482195,3867,1.31,5.42,36.7826736,-119.794492
"187","Riverside","CA","West",295898,3711,2.01,15.48,33.9381433,-117.3931675
"188","Salem","OR","West",150379,3532,-1.69,14.48,44.9236937,-123.0231194
"189","Lewiston","ID","West",30994,3444,5.96,3.42,46.3931296,-116.9934717
"190","Boise","ID","West",199714,3353,0.789999999999999,2.21,43.5984881,-116.2310843
"191","Redding","CA","West",86915,2950,-0.82,4.35,40.5674321,-122.364827
"192","Elko","NV","West",17497,2187,-0.0899999999999963,-3.88,40.8383505,-115.7676442
"193","Sacramento","CA","West",437206,1493,2.08000000000001,4.48,38.5665924,-121.4686318
"194","Albany","OR","West",47009,1493,0.0700000000000003,7.28,44.6269277,-123.0967414
"195","Missoula","MT","West",62422,1430,1.61,1.96,46.8693223,-114.0103464
"196","Toledo","OR","West",3163,1047,0.68,5.03,44.6193922,-123.9337028
"197","Jefferson","OR","West",2825,1035,-1.02999999999999,7.57,44.7161878,-123.006721
"198","Ukiah","CA","West",14225,769,-0.259999999999998,21.45,39.146614,-123.2103259
"199","Dayton","OR","West",2241,765,-2.05,-0.299999999999997,45.2198419,-123.0780966
"200","Ashland","OR","West",17444,662,-2.61,-6.6,42.1921717,-122.7004261
"201","Seattle","WA","West",527989,654,-0.189999999999998,10.51,47.6204993,-122.3508761
"202","Portland","OR","West",493350,546,0.689999999999998,17.47,45.5369506,-122.649971
"203","Spokane","WA","West",172068,467,-1.51,0.310000000000002,47.6735545,-117.4165955
"204","Aberdeen","WA","West",13149,351,-1.94,4.45,46.9766766,-123.8097175
"205","Denver","CO","West",466299,348,-0.720000000000006,-2.43,39.7618487,-104.8806251
"206","Jacksonville","OR","West",2132,326,-2.47,-20.45,42.3126317,-122.9691689
"207","Cheyenne","WY","West",45379,322,-0.149999999999999,-0.48,41.1521947,-104.7832381
"208","Pueblo","CO","West",78438,279,-4.34999999999999,6.13,38.2731471,-104.6123784
"209","Pendleton","OR","West",12206,277,-3.13,0.829999999999998,45.6745641,-118.8178533
"210","Eureka","CA","West",19864,271,-0.630000000000003,8.81,40.793304,-124.1553502
"211","Helena","MT","West",17420,162,-2.5,1.35,46.5954652,-112.0187458
"212","Astoria","OR","West",1096,13,-0.109999999999999,-5.75999999999999,46.1872632,-123.8145715
